run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
SRR7641568	SAMN09755511	SRX4505079	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/008/SRR7641568/SRR7641568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/008/SRR7641568/SRR7641568_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/008/SRR7641568	TLA-3802	Lck-cre	
SRR7641550	SAMN09755528	SRX4505097	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/000/SRR7641550/SRR7641550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/000/SRR7641550/SRR7641550_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/000/SRR7641550	TLA-8533	Cspg4-cre	
SRR7641571	SAMN09755546	SRX4505076	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/001/SRR7641571/SRR7641571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/001/SRR7641571/SRR7641571_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/001/SRR7641571	TLA-18786	LRRK2*R1441G	
SRR7641554	SAMN09755530	SRX4505093	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/004/SRR7641554/SRR7641554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/004/SRR7641554/SRR7641554_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/004/SRR7641554	TLA-8586	FXN*500GAA	
SRR7641572	SAMN09755546	SRX4505075	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/002/SRR7641572/SRR7641572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/002/SRR7641572/SRR7641572_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/002/SRR7641572	TLA-18786	LRRK2*R1441G	
SRR7641556	SAMN09755533	SRX4505091	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/006/SRR7641556/SRR7641556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/006/SRR7641556/SRR7641556_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/006/SRR7641556	TLA-8730	5XFAD	
SRR7641580	SAMN09755520	SRX4505067	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/000/SRR7641580/SRR7641580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/000/SRR7641580/SRR7641580_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/000/SRR7641580	TLA-5491	MAPT	
SRR7641581	SAMN09755521	SRX4505066	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/001/SRR7641581/SRR7641581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/001/SRR7641581/SRR7641581_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/001/SRR7641581	TLA-5864	APPswe,PSEN1dE9	
SRR7641559	SAMN09755515	SRX4505088	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/009/SRR7641559/SRR7641559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/009/SRR7641559/SRR7641559_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/009/SRR7641559	TLA-4509	Itgax-DTR/EGFP	
SRR7641584	SAMN09755537	SRX4505063	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/004/SRR7641584/SRR7641584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/004/SRR7641584/SRR7641584_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/004/SRR7641584	TLA-12467	Lrrk2*G2019S	
